Member_number,Date,itemDescription,Cost,Date_Format
2514,3-Jan-14,soda,7,41642
2595,3-Jan-14,rolls/buns,2,41642
1658,3-Jan-14,citrus fruit,4,41642
3737,3-Jan-14,instant coffee,9,41642
1339,3-Jan-14,other vegetables,6,41642
2602,3-Jan-14,whole milk,3,41642
1241,3-Jan-14,margarine,6,41642
4664,3-Jan-14,rolls/buns,2,41642
2279,3-Jan-14,curd,4,41642
4146,3-Jan-14,root vegetables,8,41642
4625,3-Jan-14,whipped/sour cream,8,41642
1483,3-Jan-14,dessert,11,41642
1764,3-Jan-14,salty snack,6,41642
3517,3-Jan-14,brown bread,1.8,41642
2085,3-Jan-14,domestic eggs,5,41642
1864,3-Jan-14,butter,2.5,41642
1362,3-Jan-14,mustard,9,41642
1335,3-Jan-14,dishes,7,41642
2935,3-Jan-14,processed cheese,13,41642
4822,3-Jan-14,yogurt,2.65,41642
2514,3-Jan-14,whole milk,3,41642
2595,3-Jan-14,chewing gum,3,41642
1658,3-Jan-14,flour,21,41642
3737,3-Jan-14,shopping bags,1.8,41642
1339,3-Jan-14,margarine,6,41642
3746,3-Jan-14,meat spreads,15,41642
1335,3-Jan-14,domestic eggs,5,41642
2279,3-Jan-14,pot plants,3,41642
2279,3-Jan-14,soda,7,41642
1335,3-Jan-14,oil,6,41642
3746,3-Jan-14,butter,2.5,41642
3621,4-Jan-14,ham,11,41643
3398,4-Jan-14,chocolate,6,41643
3284,4-Jan-14,instant coffee,9,41643
4465,4-Jan-14,specialty chocolate,21,41643
1852,4-Jan-14,tropical fruit,5,41643
1052,4-Jan-14,beef,8,41643
3141,4-Jan-14,frozen vegetables,11,41643
1948,4-Jan-14,other vegetables,6,41643
4310,4-Jan-14,candy,11,41643
3028,4-Jan-14,white bread,1.4,41643
1169,4-Jan-14,liquor,19,41643
2965,4-Jan-14,dessert,11,41643
2733,4-Jan-14,soda,7,41643
4830,4-Jan-14,soda,7,41643
2361,4-Jan-14,light bulbs,7,41643
3621,4-Jan-14,citrus fruit,4,41643
3398,4-Jan-14,cat food,9,41643
3284,4-Jan-14,yogurt,2.65,41643
4465,4-Jan-14,frozen potato products,3,41643
1852,4-Jan-14,chocolate,6,41643
1052,4-Jan-14,shopping bags,1.8,41643
3141,4-Jan-14,other vegetables,6,41643
1948,4-Jan-14,other vegetables,6,41643
4310,4-Jan-14,bottled water,3,41643
3028,4-Jan-14,butter,2.5,41643
1169,4-Jan-14,bottled water,3,41643
2965,4-Jan-14,white bread,1.4,41643
2733,4-Jan-14,red/blush wine,11,41643
4830,4-Jan-14,ice cream,16,41643
2361,4-Jan-14,whipped/sour cream,8,41643
3621,4-Jan-14,cling film/bags,2,41643
3848,4-Jan-14,chocolate marshmallow,22,41643
2847,4-Jan-14,soups,8,41643
2965,4-Jan-14,salty snack,6,41643
3284,4-Jan-14,other vegetables,6,41643
2965,4-Jan-14,cat food,9,41643
3848,4-Jan-14,brown bread,1.8,41643
2847,4-Jan-14,margarine,6,41643
3141,4-Jan-14,napkins,6,41643
4938,5-Jan-14,meat,21,41644
2269,5-Jan-14,hamburger meat,6,41644
1415,5-Jan-14,sausage,2.49,41644
4182,5-Jan-14,liver loaf,5,41644
2047,5-Jan-14,tropical fruit,5,41644
1969,5-Jan-14,other vegetables,6,41644
4426,5-Jan-14,pip fruit,4,41644
2238,5-Jan-14,curd,4,41644
3684,5-Jan-14,newspapers,3,41644
4442,5-Jan-14,citrus fruit,4,41644
3814,5-Jan-14,bottled water,3,41644
4601,5-Jan-14,pot plants,3,41644
2174,5-Jan-14,brown bread,1.8,41644
2193,5-Jan-14,whole milk,3,41644
4823,5-Jan-14,UHT-milk,9,41644
2618,5-Jan-14,flower (seeds),18,41644
2129,5-Jan-14,berries,7.5,41644
2847,5-Jan-14,rolls/buns,2,41644
2982,5-Jan-14,coffee,16,41644
3425,5-Jan-14,citrus fruit,4,41644
3639,5-Jan-14,sweet spreads,15,41644
2725,5-Jan-14,whole milk,3,41644
4997,5-Jan-14,whole milk,3,41644
4938,5-Jan-14,shopping bags,1.8,41644
2269,5-Jan-14,sliced cheese,5,41644
1415,5-Jan-14,fruit/vegetable juice,11,41644
4182,5-Jan-14,vinegar,7,41644
2047,5-Jan-14,cat food,9,41644
1969,5-Jan-14,jam,9,41644
4426,5-Jan-14,pastry,6,41644
2238,5-Jan-14,whole milk,3,41644
3684,5-Jan-14,rolls/buns,2,41644
4442,5-Jan-14,baking powder,4,41644
3814,5-Jan-14,red/blush wine,11,41644
4601,5-Jan-14,yogurt,2.65,41644
2174,5-Jan-14,bottled water,3,41644
2193,5-Jan-14,bottled beer,31,41644
4823,5-Jan-14,frozen meals,6,41644
2618,5-Jan-14,whipped/sour cream,8,41644
2129,5-Jan-14,coffee,16,41644
2847,5-Jan-14,processed cheese,13,41644
2982,5-Jan-14,sugar,16,41644
3425,5-Jan-14,soda,7,41644
3639,5-Jan-14,flower (seeds),18,41644
2725,5-Jan-14,baking powder,4,41644
4997,5-Jan-14,canned beer,4.5,41644
4182,5-Jan-14,whole milk,3,41644
1891,5-Jan-14,hygiene articles,5,41644
2618,5-Jan-14,specialty chocolate,21,41644
1969,5-Jan-14,cat food,9,41644
1969,5-Jan-14,fruit/vegetable juice,11,41644
4426,5-Jan-14,Instant food products,17,41644
2238,5-Jan-14,pastry,6,41644
3684,5-Jan-14,newspapers,3,41644
4938,5-Jan-14,UHT-milk,9,41644
2618,5-Jan-14,bottled water,3,41644
1891,5-Jan-14,white bread,1.4,41644
4601,5-Jan-14,cream cheese ,19,41644
2174,5-Jan-14,domestic eggs,5,41644
1410,6-Jan-14,sausage,2.49,41645
1440,6-Jan-14,tropical fruit,5,41645
4575,6-Jan-14,sausage,2.49,41645
2010,6-Jan-14,other vegetables,6,41645
3595,6-Jan-14,domestic eggs,5,41645
2595,6-Jan-14,curd,4,41645
1489,6-Jan-14,vinegar,7,41645
4975,6-Jan-14,canned beer,4.5,41645
3768,6-Jan-14,dessert,11,41645
2284,6-Jan-14,tropical fruit,5,41645
3849,6-Jan-14,whole milk,3,41645
3218,6-Jan-14,pastry,6,41645
1828,6-Jan-14,herbs,8,41645
2354,6-Jan-14,beverages,36,41645
3743,6-Jan-14,coffee,16,41645
1057,6-Jan-14,soda,7,41645
4913,6-Jan-14,onions,4,41645
3614,6-Jan-14,other vegetables,6,41645
4649,6-Jan-14,other vegetables,6,41645
2638,6-Jan-14,root vegetables,8,41645
1410,6-Jan-14,dishes,7,41645
1440,6-Jan-14,fruit/vegetable juice,11,41645
4575,6-Jan-14,mustard,9,41645
2010,6-Jan-14,yogurt,2.65,41645
3595,6-Jan-14,canned beer,4.5,41645
2595,6-Jan-14,cream cheese ,19,41645
1489,6-Jan-14,newspapers,3,41645
4975,6-Jan-14,berries,7.5,41645
3768,6-Jan-14,yogurt,2.65,41645
2284,6-Jan-14,fruit/vegetable juice,11,41645
3849,6-Jan-14,whole milk,3,41645
3218,6-Jan-14,dishes,7,41645
1828,6-Jan-14,spread cheese,9,41645
2354,6-Jan-14,rolls/buns,2,41645
3743,6-Jan-14,soda,7,41645
1057,6-Jan-14,domestic eggs,5,41645
4913,6-Jan-14,whipped/sour cream,8,41645
3614,6-Jan-14,frozen meals,6,41645
4649,6-Jan-14,soda,7,41645
2638,6-Jan-14,misc. beverages,21,41645
3218,6-Jan-14,waffles,7,41645
3113,6-Jan-14,hygiene articles,5,41645
3006,6-Jan-14,waffles,7,41645
2594,6-Jan-14,soft cheese,9,41645
2354,6-Jan-14,soups,8,41645
3743,6-Jan-14,photo/film,31,41645
1057,6-Jan-14,sliced cheese,5,41645
3595,6-Jan-14,bottled water,3,41645
3595,6-Jan-14,waffles,7,41645
2595,6-Jan-14,domestic eggs,5,41645
1489,6-Jan-14,brown bread,1.8,41645
4975,6-Jan-14,bottled water,3,41645
1410,6-Jan-14,rum,39,41645
1828,6-Jan-14,rolls/buns,2,41645
2354,6-Jan-14,white bread,1.4,41645
3743,6-Jan-14,domestic eggs,5,41645
1057,6-Jan-14,soda,7,41645
3113,6-Jan-14,cling film/bags,2,41645
3006,6-Jan-14,brown bread,1.8,41645
2594,6-Jan-14,hard cheese,15,41645
1747,7-Jan-14,frankfurter,3,41646
2411,7-Jan-14,canned beer,4.5,41646
4367,7-Jan-14,domestic eggs,5,41646
3376,7-Jan-14,soda,7,41646
1825,7-Jan-14,long life bakery product,7,41646
1522,7-Jan-14,whole milk,3,41646
2026,7-Jan-14,other vegetables,6,41646
1364,7-Jan-14,citrus fruit,4,41646
4551,7-Jan-14,mayonnaise,5,41646
1049,7-Jan-14,specialty bar,4,41646
2898,7-Jan-14,rolls/buns,2,41646
1320,7-Jan-14,mayonnaise,5,41646
3850,7-Jan-14,rolls/buns,2,41646
1113,7-Jan-14,whole milk,3,41646
4818,7-Jan-14,pip fruit,4,41646
2588,7-Jan-14,whole milk,3,41646
3966,7-Jan-14,whole milk,3,41646
2236,7-Jan-14,bottled beer,31,41646
4308,7-Jan-14,soda,7,41646
1947,7-Jan-14,whole milk,3,41646
3444,7-Jan-14,canned beer,4.5,41646
4969,7-Jan-14,soda,7,41646
4171,7-Jan-14,whole milk,3,41646
2369,7-Jan-14,beef,8,41646
1922,7-Jan-14,yogurt,2.65,41646
1747,7-Jan-14,margarine,6,41646
2411,7-Jan-14,other vegetables,6,41646
4367,7-Jan-14,frozen vegetables,11,41646
3376,7-Jan-14,other vegetables,6,41646
1825,7-Jan-14,UHT-milk,9,41646
1522,7-Jan-14,waffles,7,41646
2026,7-Jan-14,margarine,6,41646
1364,7-Jan-14,frozen dessert,8,41646
4551,7-Jan-14,pastry,6,41646
1049,7-Jan-14,margarine,6,41646
2898,7-Jan-14,bottled water,3,41646
1320,7-Jan-14,processed cheese,13,41646
3850,7-Jan-14,pickled vegetables,15,41646
1113,7-Jan-14,yogurt,2.65,41646
4818,7-Jan-14,white bread,1.4,41646
2588,7-Jan-14,coffee,16,41646
3966,7-Jan-14,canned beer,4.5,41646
2236,7-Jan-14,soda,7,41646
4308,7-Jan-14,whole milk,3,41646
1947,7-Jan-14,berries,7.5,41646
3444,7-Jan-14,syrup,6,41646
4969,7-Jan-14,salty snack,6,41646
4171,7-Jan-14,whole milk,3,41646
2369,7-Jan-14,soda,7,41646
1922,7-Jan-14,whipped/sour cream,8,41646
2236,7-Jan-14,candy,11,41646
4722,7-Jan-14,hygiene articles,5,41646
2573,7-Jan-14,zwieback,8,41646
1947,7-Jan-14,specialty chocolate,21,41646
3444,7-Jan-14,brown bread,1.8,41646
4969,7-Jan-14,butter milk,2.65,41646
1522,7-Jan-14,shopping bags,1.8,41646
4367,7-Jan-14,curd,4,41646
3376,7-Jan-14,cream cheese ,19,41646
1825,7-Jan-14,whole milk,3,41646
1747,7-Jan-14,frozen vegetables,11,41646
1113,7-Jan-14,newspapers,3,41646
4818,7-Jan-14,sliced cheese,5,41646
1947,7-Jan-14,white bread,1.4,41646
3444,7-Jan-14,rice,1.59,41646
4969,7-Jan-14,baking powder,4,41646
4722,7-Jan-14,frozen dessert,8,41646
2573,7-Jan-14,brown bread,1.8,41646
3241,8-Jan-14,ham,11,41647
2899,8-Jan-14,frankfurter,3,41647
2407,8-Jan-14,sliced cheese,5,41647
2664,8-Jan-14,citrus fruit,4,41647
1285,8-Jan-14,butter,2.5,41647
3534,8-Jan-14,citrus fruit,4,41647
2107,8-Jan-14,whole milk,3,41647
4765,8-Jan-14,beef,8,41647
3998,8-Jan-14,ice cream,16,41647
4939,8-Jan-14,beef,8,41647
3893,8-Jan-14,salty snack,6,41647
2086,8-Jan-14,root vegetables,8,41647
2031,8-Jan-14,rolls/buns,2,41647
4814,8-Jan-14,white bread,1.4,41647
1495,8-Jan-14,meat,21,41647
1243,8-Jan-14,soda,7,41647
4144,8-Jan-14,whole milk,3,41647
3241,8-Jan-14,whole milk,3,41647
2899,8-Jan-14,canned beer,4.5,41647
2407,8-Jan-14,root vegetables,8,41647
2664,8-Jan-14,pickled vegetables,15,41647
1285,8-Jan-14,rolls/buns,2,41647
3534,8-Jan-14,processed cheese,13,41647
2107,8-Jan-14,coffee,16,41647
4765,8-Jan-14,spread cheese,9,41647
3998,8-Jan-14,Instant food products,17,41647
4939,8-Jan-14,whipped/sour cream,8,41647
3893,8-Jan-14,canned beer,4.5,41647
2086,8-Jan-14,butter,2.5,41647
2031,8-Jan-14,detergent,11,41647
4814,8-Jan-14,whole milk,3,41647
1495,8-Jan-14,other vegetables,6,41647
1243,8-Jan-14,cling film/bags,2,41647
4144,8-Jan-14,bottled beer,31,41647
2294,8-Jan-14,sugar,16,41647
4796,8-Jan-14,curd,4,41647
3451,8-Jan-14,soda,7,41647
2651,8-Jan-14,dishes,7,41647
3402,8-Jan-14,newspapers,3,41647
4765,8-Jan-14,misc. beverages,21,41647
3241,8-Jan-14,brown bread,1.8,41647
2899,8-Jan-14,soda,7,41647
4814,8-Jan-14,hygiene articles,5,41647
2294,8-Jan-14,bottled beer,31,41647
4796,8-Jan-14,soda,7,41647
3451,8-Jan-14,soda,7,41647
2651,8-Jan-14,shopping bags,1.8,41647
3402,8-Jan-14,rolls/buns,2,41647
3998,8-Jan-14,long life bakery product,7,41647
2946,9-Jan-14,onions,4,41648
1816,9-Jan-14,soda,7,41648
3299,9-Jan-14,ham,11,41648
1878,9-Jan-14,chicken,7,41648
3117,9-Jan-14,berries,7.5,41648
2531,9-Jan-14,beef,8,41648
4356,9-Jan-14,tropical fruit,5,41648
3122,9-Jan-14,coffee,16,41648
1568,9-Jan-14,candy,11,41648
3692,9-Jan-14,beef,8,41648
3334,9-Jan-14,root vegetables,8,41648
1408,9-Jan-14,hamburger meat,6,41648
4915,9-Jan-14,bottled water,3,41648
1005,9-Jan-14,rolls/buns,2,41648
1975,9-Jan-14,rolls/buns,2,41648
4427,9-Jan-14,turkey,14,41648
2946,9-Jan-14,white wine,36,41648
1816,9-Jan-14,whole milk,3,41648
3299,9-Jan-14,frozen meals,6,41648
1878,9-Jan-14,liquor,19,41648
3117,9-Jan-14,domestic eggs,5,41648
2531,9-Jan-14,chewing gum,3,41648
4356,9-Jan-14,soda,7,41648
3122,9-Jan-14,oil,6,41648
1568,9-Jan-14,domestic eggs,5,41648
3692,9-Jan-14,salty snack,6,41648
3334,9-Jan-14,white wine,36,41648
1408,9-Jan-14,ice cream,16,41648
4915,9-Jan-14,sliced cheese,5,41648
1005,9-Jan-14,rolls/buns,2,41648
1975,9-Jan-14,soups,8,41648
4427,9-Jan-14,salt,3,41648
3334,9-Jan-14,liquor (appetizer),20,41648
1552,9-Jan-14,rolls/buns,2,41648
3487,9-Jan-14,rolls/buns,2,41648
2642,9-Jan-14,long life bakery product,7,41648
4623,9-Jan-14,newspapers,3,41648
4852,9-Jan-14,bottled water,3,41648
4356,9-Jan-14,butter milk,2.65,41648
3122,9-Jan-14,newspapers,3,41648
1552,9-Jan-14,baby cosmetics,21,41648
3487,9-Jan-14,seasonal products,15,41648
2642,9-Jan-14,yogurt,2.65,41648
4623,9-Jan-14,white bread,1.4,41648
4852,9-Jan-14,curd,4,41648
2676,10-Jan-14,other vegetables,6,41649
1847,10-Jan-14,canned beer,4.5,41649
4651,10-Jan-14,rolls/buns,2,41649
1625,10-Jan-14,pot plants,3,41649
2937,10-Jan-14,rolls/buns,2,41649
2850,10-Jan-14,pip fruit,4,41649
3106,10-Jan-14,ham,11,41649
3347,10-Jan-14,coffee,16,41649
3303,10-Jan-14,dessert,11,41649
3929,10-Jan-14,semi-finished bread,3,41649
2676,10-Jan-14,candy,11,41649
1847,10-Jan-14,rolls/buns,2,41649
4651,10-Jan-14,rolls/buns,2,41649
1625,10-Jan-14,bottled water,3,41649
2937,10-Jan-14,pastry,6,41649
2850,10-Jan-14,root vegetables,8,41649
3106,10-Jan-14,pastry,6,41649
3347,10-Jan-14,rolls/buns,2,41649
3303,10-Jan-14,dishes,7,41649
3929,10-Jan-14,dish cleaner,9,41649
4720,10-Jan-14,chocolate,6,41649
3879,10-Jan-14,curd,4,41649
4651,10-Jan-14,sugar,16,41649
4720,10-Jan-14,baking powder,4,41649
3879,10-Jan-14,curd,4,41649
1625,10-Jan-14,yogurt,2.65,41649
4557,11-Jan-14,tropical fruit,5,41650
3855,11-Jan-14,coffee,16,41650
2544,11-Jan-14,instant coffee,9,41650
4403,11-Jan-14,butter,2.5,41650
2860,11-Jan-14,tropical fruit,5,41650
4467,11-Jan-14,white bread,1.4,41650
3840,11-Jan-14,butter,2.5,41650
1589,11-Jan-14,dessert,11,41650
4078,11-Jan-14,ham,11,41650
4915,11-Jan-14,yogurt,2.65,41650
4916,11-Jan-14,grapes,8,41650
2551,11-Jan-14,other vegetables,6,41650
3751,11-Jan-14,specialty chocolate,21,41650
2940,11-Jan-14,citrus fruit,4,41650
1869,11-Jan-14,root vegetables,8,41650
3489,11-Jan-14,whole milk,3,41650
2630,11-Jan-14,root vegetables,8,41650
4081,11-Jan-14,pip fruit,4,41650
3920,11-Jan-14,whole milk,3,41650
2606,11-Jan-14,whole milk,3,41650
1820,11-Jan-14,citrus fruit,4,41650
4618,11-Jan-14,brown bread,1.8,41650
1241,11-Jan-14,whole milk,3,41650
4557,11-Jan-14,soda,7,41650
3855,11-Jan-14,white wine,36,41650
2544,11-Jan-14,processed cheese,13,41650
4403,11-Jan-14,pastry,6,41650
2860,11-Jan-14,yogurt,2.65,41650
4467,11-Jan-14,UHT-milk,9,41650
3840,11-Jan-14,butter,2.5,41650
1589,11-Jan-14,butter,2.5,41650
4078,11-Jan-14,hard cheese,15,41650
4915,11-Jan-14,rolls/buns,2,41650
4916,11-Jan-14,whole milk,3,41650
2551,11-Jan-14,curd,4,41650
3751,11-Jan-14,pet care,21,41650
2940,11-Jan-14,sliced cheese,5,41650
1869,11-Jan-14,tropical fruit,5,41650
3489,11-Jan-14,frozen dessert,8,41650
2630,11-Jan-14,processed cheese,13,41650
4081,11-Jan-14,domestic eggs,5,41650
3920,11-Jan-14,coffee,16,41650
2606,11-Jan-14,candles,7,41650
1820,11-Jan-14,butter milk,2.65,41650
4618,11-Jan-14,other vegetables,6,41650
1241,11-Jan-14,specialty cheese,6,41650
2750,11-Jan-14,waffles,7,41650
1403,11-Jan-14,cling film/bags,2,41650
1308,11-Jan-14,napkins,6,41650
2860,11-Jan-14,bottled water,3,41650
4403,11-Jan-14,other vegetables,6,41650
4403,11-Jan-14,other vegetables,6,41650
3489,11-Jan-14,popcorn,6,41650
2750,11-Jan-14,sparkling wine,26,41650
1403,11-Jan-14,fruit/vegetable juice,11,41650
1308,11-Jan-14,pastry,6,41650
4916,11-Jan-14,frozen vegetables,11,41650
1504,12-Jan-14,sausage,2.49,41651
4165,12-Jan-14,tropical fruit,5,41651
3649,12-Jan-14,pip fruit,4,41651
1430,12-Jan-14,soda,7,41651
2864,12-Jan-14,popcorn,6,41651
3832,12-Jan-14,whole milk,3,41651
1702,12-Jan-14,yogurt,2.65,41651
1204,12-Jan-14,softener,11,41651
4665,12-Jan-14,soda,7,41651
3430,12-Jan-14,other vegetables,6,41651
3924,12-Jan-14,hamburger meat,6,41651
4803,12-Jan-14,root vegetables,8,41651
1606,12-Jan-14,dog food,26,41651
1623,12-Jan-14,soda,7,41651
2618,12-Jan-14,long life bakery product,7,41651
2952,12-Jan-14,hamburger meat,6,41651
1045,12-Jan-14,root vegetables,8,41651
4854,12-Jan-14,tropical fruit,5,41651
1655,12-Jan-14,bottled water,3,41651
1504,12-Jan-14,white wine,36,41651
4165,12-Jan-14,condensed milk,2.5,41651
3649,12-Jan-14,ice cream,16,41651
1430,12-Jan-14,canned beer,4.5,41651
2864,12-Jan-14,dishes,7,41651
3832,12-Jan-14,shopping bags,1.8,41651
1702,12-Jan-14,pip fruit,4,41651
1204,12-Jan-14,chocolate,6,41651
4665,12-Jan-14,rolls/buns,2,41651
3430,12-Jan-14,pot plants,3,41651
3924,12-Jan-14,pastry,6,41651
4803,12-Jan-14,white bread,1.4,41651
1606,12-Jan-14,canned beer,4.5,41651
1623,12-Jan-14,soda,7,41651
2618,12-Jan-14,salty snack,6,41651
2952,12-Jan-14,whipped/sour cream,8,41651
1045,12-Jan-14,yogurt,2.65,41651
4854,12-Jan-14,domestic eggs,5,41651
1655,12-Jan-14,rolls/buns,2,41651
3739,12-Jan-14,red/blush wine,11,41651
2619,12-Jan-14,shopping bags,1.8,41651
2952,12-Jan-14,sugar,16,41651
1045,12-Jan-14,butter,2.5,41651
4854,12-Jan-14,candy,11,41651
3832,12-Jan-14,specialty bar,4,41651
1702,12-Jan-14,yogurt,2.65,41651
1430,12-Jan-14,soft cheese,9,41651
1430,12-Jan-14,waffles,7,41651
2864,12-Jan-14,whole milk,3,41651
2952,12-Jan-14,newspapers,3,41651
1045,12-Jan-14,yogurt,2.65,41651
4854,12-Jan-14,sugar,16,41651
3739,12-Jan-14,salty snack,6,41651
2619,12-Jan-14,condensed milk,2.5,41651
3430,12-Jan-14,vinegar,7,41651
3539,13-Jan-14,photo/film,31,41652
4355,13-Jan-14,whole milk,3,41652
2383,13-Jan-14,pork,9,41652
2148,13-Jan-14,soda,7,41652
4067,13-Jan-14,whole milk,3,41652
4002,13-Jan-14,seasonal products,15,41652
4065,13-Jan-14,brown bread,1.8,41652
1483,13-Jan-14,meat,21,41652
1443,13-Jan-14,hamburger meat,6,41652
4836,13-Jan-14,whipped/sour cream,8,41652
1051,13-Jan-14,hamburger meat,6,41652
4860,13-Jan-14,pastry,6,41652
3482,13-Jan-14,root vegetables,8,41652
1779,13-Jan-14,citrus fruit,4,41652
1821,13-Jan-14,coffee,16,41652
3789,13-Jan-14,bottled water,3,41652
1956,13-Jan-14,nut snack,17,41652
3539,13-Jan-14,bottled beer,31,41652
4355,13-Jan-14,pip fruit,4,41652
2383,13-Jan-14,yogurt,2.65,41652
2148,13-Jan-14,canned beer,4.5,41652
4067,13-Jan-14,specialty chocolate,21,41652
4002,13-Jan-14,flour,21,41652
4065,13-Jan-14,pastry,6,41652
1483,13-Jan-14,pip fruit,4,41652
1443,13-Jan-14,dessert,11,41652
4836,13-Jan-14,cream cheese ,19,41652
1051,13-Jan-14,bottled beer,31,41652
4860,13-Jan-14,fruit/vegetable juice,11,41652
3482,13-Jan-14,oil,6,41652
1779,13-Jan-14,newspapers,3,41652
1821,13-Jan-14,butter milk,2.65,41652
3789,13-Jan-14,rolls/buns,2,41652
1956,13-Jan-14,butter,2.5,41652
4681,13-Jan-14,bottled water,3,41652
2927,13-Jan-14,rolls/buns,2,41652
1961,13-Jan-14,sugar,16,41652
4002,13-Jan-14,domestic eggs,5,41652
4681,13-Jan-14,bottled water,3,41652
